"x","y","bio_flux_opt","ocn_flux_opt","fossil_flux_imp","fire_flux_imp","tot"
75.5,89.5,0,0,0,0,0
76.5,89.5,0,0,0,0,0
77.5,89.5,0,0,0,0,0
78.5,89.5,0,0,0,0,0
79.5,89.5,0,0,0,0,0
80.5,89.5,0,0,0,0,0
81.5,89.5,0,0,0,0,0
82.5,89.5,0,0,0,0,0
83.5,89.5,0,0,0,0,0
84.5,89.5,0,0,0,0,0
85.5,89.5,0,0,0,0,0
86.5,89.5,0,0,0,0,0
87.5,89.5,0,0,0,0,0
88.5,89.5,0,0,0,0,0
89.5,89.5,0,0,0,0,0
90.5,89.5,0,0,0,0,0
91.5,89.5,0,0,0,0,0
92.5,89.5,0,0,0,0,0
93.5,89.5,0,0,0,0,0
94.5,89.5,0,0,0,0,0
95.5,89.5,0,0,0,0,0
96.5,89.5,0,0,0,0,0
97.5,89.5,0,0,0,0,0
98.5,89.5,0,0,0,0,0
99.5,89.5,0,0,0,0,0
100.5,89.5,0,0,0,0,0
101.5,89.5,0,0,0,0,0
102.5,89.5,0,0,0,0,0
103.5,89.5,0,0,0,0,0
104.5,89.5,0,0,0,0,0
105.5,89.5,0,0,0,0,0
106.5,89.5,0,0,0,0,0
107.5,89.5,0,0,0,0,0
108.5,89.5,0,0,0,0,0
109.5,89.5,0,0,0,0,0
110.5,89.5,0,0,0,0,0
111.5,89.5,0,0,0,0,0
112.5,89.5,0,0,5.32377944651524e-10,0,0
113.5,89.5,0,0,0,0,0
114.5,89.5,0,0,0,0,0
115.5,89.5,0,0,0,0,0
116.5,89.5,0,0,0,0,0
117.5,89.5,0,0,0,0,0
118.5,89.5,0,0,4.34617835605889e-09,0,0
119.5,89.5,0,0,0,0,0
120.5,89.5,0,0,0,0,0
121.5,89.5,0,0,0,0,0
122.5,89.5,0,0,0,0,0
123.5,89.5,0,0,0,0,0
124.5,89.5,0,0,0,0,0
125.5,89.5,0,0,0,0,0
126.5,89.5,0,0,0,0,0
127.5,89.5,0,0,0,0,0
128.5,89.5,0,0,0,0,0
129.5,89.5,0,0,0,0,0
130.5,89.5,0,0,0,0,0
131.5,89.5,0,0,0,0,0
132.5,89.5,0,0,0,0,0
133.5,89.5,0,0,0,0,0
134.5,89.5,0,0,0,0,0
135.5,89.5,0,0,0,0,0
136.5,89.5,0,0,0,0,0
137.5,89.5,0,0,0,0,0
138.5,89.5,0,0,0,0,0
139.5,89.5,0,0,0,0,0
140.5,89.5,0,0,0,0,0
141.5,89.5,0,0,0,0,0
142.5,89.5,0,0,0,0,0
143.5,89.5,0,0,0,0,0
144.5,89.5,0,0,0,0,0
145.5,89.5,0,0,0,0,0
146.5,89.5,0,0,0,0,0
147.5,89.5,0,0,0,0,0
148.5,89.5,0,0,0,0,0
149.5,89.5,0,0,2.44901491201724e-11,0,0
150.5,89.5,0,0,3.42785918880399e-11,0,0
151.5,89.5,0,0,3.27404366296588e-11,0,0
152.5,89.5,0,0,3.13267310039314e-11,0,0
153.5,89.5,0,0,3.00214934976285e-11,0,0
154.5,89.5,0,0,2.88159783479749e-11,0,0
155.5,89.5,0,0,2.76897817058027e-11,0,0
156.5,89.5,0,0,2.66405165647341e-11,0,0
157.5,89.5,0,0,2.56847534966627e-11,0,0
158.5,89.5,0,0,2.4784001474265e-11,0,0
159.5,89.5,0,0,2.3932095163391e-11,0,0
160.5,89.5,0,0,2.31556499049411e-11,0,0
161.5,89.5,0,0,2.24192606356381e-11,0,0
162.5,89.5,0,0,2.17386385171594e-11,0,0
163.5,89.5,0,0,2.10900761362627e-11,0,0
164.5,89.5,0,0,2.04896495193206e-11,0,0
165.5,89.5,0,0,1.99246741232382e-11,0,0
166.5,89.5,0,0,1.9394796073221e-11,0,0
167.5,89.5,0,0,1.88989867145872e-11,0,0
168.5,89.5,0,0,1.84309488343813e-11,0,0
169.5,89.5,0,0,1.79906890265432e-11,0,0
170.5,89.5,0,0,1.7576724753503e-11,0,0
171.5,89.5,0,0,1.7184683133873e-11,0,0
172.5,89.5,0,0,1.68217570574955e-11,0,0
173.5,89.5,0,0,1.64790139332874e-11,0,0
174.5,89.5,0,0,1.61518962495337e-11,0,0
175.5,89.5,0,0,1.58476408556786e-11,0,0
176.5,89.5,0,0,1.55584328335145e-11,0,0
177.5,89.5,0,0,1.52869998763322e-11,0,0
178.5,89.5,0,0,1.50369071078366e-11,0,0
179.5,89.5,0,0,1.40608248128298e-11,0,0
-179.5,88.5,0,0,0,0,0
-178.5,88.5,0,0,0,0,0
-177.5,88.5,0,0,0,0,0
-176.5,88.5,0,0,0,0,0
-175.5,88.5,0,0,0,0,0
-174.5,88.5,0,0,0,0,0
